Ensembl.ID	Location	Approved.Symbol	Mim.Number	Gene.Name	Phenotypes	Panels	From.Omim	From.PanelApp	Inheritance	Publications	Aliases
ENSG00000198691	chr1:93992833-94121147	ABCA4	601691	"ATP-binding transporter, retina-specific"	"Retinal dystrophy, early-onset severe, 248200 (3), Autosomal recessive; Stargardt disease 1, 248200 (3), Autosomal recessive; Fundus flavimaculatus, 248200 (3), Autosomal recessive; {Macular degeneration, age-related, 2}, 153800 (3), Autosomal dominant; Cone-rod dystrophy 3, 604116 (3); Retinitis pigmentosa 19, 601718 (3), Autosomal recessive"	"Retinal disorders, Severe Paediatric Disorders"	TRUE	TRUE	"BIALLELIC, autosomal or pseudoautosomal"		"FFM, ARMD2, CORD3"
ENSG00000073734	chr2:168915467-169031395	ABCB11	603201	"ATP-binding cassette, subfamily B, member 11 (bile salt export pump)"	"Cholestasis, progressive familial intrahepatic 2, 601847 (3), Autosomal recessive; Cholestasis, benign recurrent intrahepatic, 2, 605479 (3), Autosomal recessive"	"Neonatal cholestasis, Cholestasis, Inborn errors of metabolism, DDG2P, Severe Paediatric Disorders"	TRUE	TRUE	"BIALLELIC, autosomal or pseudoautosomal"	30847515	"ABC16, SPGP, PFIC-2, PGY4"
ENSG00000005471	chr7:87398987-87476721	ABCB4	171060	"ATP-binding cassette, subfamily B, member 4 (P-glycoprotein-3/multiple drug resistance-3)"	"Gallbladder disease 1, 600803 (3), Autosomal dominant, Autosomal recessive; Cholestasis, intrahepatic, of pregnancy, 3, 614972 (3), Autosomal dominant, Autosomal recessive; Cholestasis, progressive familial intrahepatic 3, 602347 (3), Autosomal recessive"	"Neonatal cholestasis, Cholestasis, Inborn errors of metabolism, Severe Paediatric Disorders"	TRUE	TRUE	"BOTH monoallelic and biallelic, autosomal or pseudoautosomal"	27604308	"MDR2, PFIC-3, GBD1"
ENSG00000115657	chr2:219209771-219218957	ABCB6	605452	"ATP-binding cassette, subfamily B, member 6"	"Dyschromatosis universalis hereditaria 3, 615402 (3), Autosomal dominant; Microphthalmia, isolated, with coloboma 7, 614497 (3), Autosomal dominant; [Blood group, Langereis system], 111600 (3); Pseudohyperkalemia, familial, 2, due to red cell leak, 609153 (3), Autosomal dominant"		TRUE	FALSE			
ENSG00000131269	chrX:75051047-75156282	ABCB7	300135	ATP-binding cassette-7	"Anemia, sideroblastic, with ataxia, 301310 (3), X-linked recessive"	"Inborn errors of metabolism, Cytopenias and congenital anaemias, DDG2P, Hereditary ataxia - adult onset, Mitochondrial disorders, Severe Paediatric Disorders"	TRUE	TRUE	"X-LINKED: hemizygous mutation in males, biallelic mutations in females"		"EST140535, Atm1p, ASAT"
ENSG00000023839	chr10:99782601-99853740	ABCC2	601107	"ATP-binding cassette, subfamily C, member 2 (canalicular multispecific organic anion transporter)"	"Dubin-Johnson syndrome, 237500 (3), Autosomal recessive"	"Neonatal cholestasis, Cholestasis, Severe Paediatric Disorders"	TRUE	TRUE	"BIALLELIC, autosomal or pseudoautosomal"	30847515	"DJS, MRP2, cMRP"
ENSG00000091262	chr16:16149564-16223616	ABCC6	603234	"ATP-binding cassette, subfamily C, member 6"	"Pseudoxanthoma elasticum, 264800 (3), Autosomal recessive; Pseudoxanthoma elasticum, forme fruste, 177850 (3), Autosomal dominant; Arterial calcification, generalized, of infancy, 2, 614473 (3), Autosomal recessive"	"Familial cerebral small vessel disease, Severe Paediatric Disorders, DDG2P, Fetal anomalies"	TRUE	TRUE	"BIALLELIC, autosomal or pseudoautosomal"	22209248	"MRP6, EST349056, MLP1, URG7"
ENSG00000006071	chr11:17392497-17476848	ABCC8	600509	"ATP-binding cassette, subfamily C, member 8 (sulfonylurea receptor)"	"Diabetes mellitus, noninsulin-dependent, 125853 (3), Autosomal dominant; Diabetes mellitus, permanent neonatal 3, with or without neurologic features, 618857 (3), Autosomal dominant, Autosomal recessive; Diabetes mellitus, transient neonatal 2, 610374 (3); Hyperinsulinemic hypoglycemia, familial, 1, 256450 (3), Autosomal dominant, Autosomal recessive; Hypoglycemia of infancy, leucine-sensitive, 240800 (3), Autosomal dominant"	"Familial diabetes, Monogenic diabetes, Severe Paediatric Disorders, Congenital hyperinsulinism"	TRUE	TRUE	"BOTH monoallelic and biallelic, autosomal or pseudoautosomal"		"HI, PHHI, SUR1, MRP8, ABC36, HHF1, TNDM2"
ENSG00000069431	chr12:21797388-21941862	ABCC9	601439	"ATP-binding cassette, subfamily C, member 9 (sulfonylurea receptor 2)"	"Hypertrichotic osteochondrodysplasia, 239850 (3), Autosomal dominant; ?Atrial fibrillation, familial, 12, 614050 (3), Autosomal dominant; Cardiomyopathy, dilated, 1O, 608569 (3), Autosomal dominant"	"Cardiomyopathies - including childhood onset, DDG2P, Intellectual disability, Skeletal dysplasia, Severe Paediatric Disorders, Fetal anomalies"	TRUE	TRUE	"MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown"		"SUR2, CMD1O"
ENSG00000101986	chrX:153724850-153744754	ABCD1	300371	"ATP-binding cassette, subfamily D, member 1"	"Adrenomyeloneuropathy, adult, 300100 (3), X-linked recessive; Adrenoleukodystrophy, 300100 (3), X-linked recessive"	"Hereditary spastic paraplegia - adult onset, Inborn errors of metabolism, White matter disorders - adult onset, Hereditary spastic paraplegia, DDG2P, Neurodegenerative disorders - adult onset, Hereditary spastic paraplegia - childhood onset, White matter disorders and cerebral calcification - narrow panel, Intellectual disability, Severe Paediatric Disorders"	TRUE	TRUE	"X-LINKED: hemizygous mutation in males, biallelic mutations in females"	"27159321, 25527826, 28334938, 20301621, 24357685"	"AMN, ALDP, adrenoleukodystrophy"
ENSG00000119688	chr14:74285268-74303061	ABCD4	603214	"ATP-binding cassette, subfamily D, member 4 (peroxisomal membrane protein 1-like)"	"Methylmalonic aciduria and homocystinuria, cblJ type, 614857 (3), Autosomal recessive"	"Severe Paediatric Disorders, Inborn errors of metabolism, Intellectual disability"	TRUE	TRUE	"BIALLELIC, autosomal or pseudoautosomal"	"27604308, 23141461, 25234635"	"PMP69, P70R, EST352188"
ENSG00000138075	chr2:43806153-43838839	ABCG5	605459	"ATP-binding cassette, subfamily G, member 5"	"Sitosterolemia 2, 618666 (3), Autosomal recessive"	"Severe Paediatric Disorders, Bleeding and platelet disorders, Familial hypercholesterolaemia, Inborn errors of metabolism"	TRUE	TRUE	"BIALLELIC, autosomal or pseudoautosomal"	30847515	STSL
ENSG00000143921	chr2:43831941-43882987	ABCG8	605460	"ATP-binding cassette, subfamily G, member 8"	"{Gallbladder disease 4}, 611465 (3); Sitosterolemia 1, 210250 (3), Autosomal recessive"	"Bleeding and platelet disorders, Inborn errors of metabolism, Familial hypercholesterolaemia, Severe Paediatric Disorders"	TRUE	TRUE	"BIALLELIC, autosomal or pseudoautosomal"	27604308	GBD4
ENSG00000100997	chr20:25294742-25390834	ABHD12	613599	"Abhydrolase domain-containing protein 12, lysophospholipase"	"Polyneuropathy, hearing loss, ataxia, retinitis pigmentosa, and cataract, 612674 (3), Autosomal recessive"	"Inborn errors of metabolism, Hereditary ataxia - adult onset, Hearing loss, Hereditary neuropathy, Retinal disorders, Severe Paediatric Disorders"	TRUE	TRUE	"BIALLELIC, autosomal or pseudoautosomal"		"DKFZP434P106, dJ965G21.2, BEM46L2, ABHD12A"
ENSG00000011198	chr3:43690869-43734370	ABHD5	604780	"Abhydrolase domain containing 5, lysophosphatidic acid acyltransferase"	"Chanarin-Dorfman syndrome, 275630 (3), Autosomal recessive"	"Inborn errors of metabolism, DDG2P, Intellectual disability, Severe Paediatric Disorders, Fetal anomalies"	TRUE	TRUE	"BIALLELIC, autosomal or pseudoautosomal"	27604308	"CGI-58, NCIE2"
ENSG00000097007	chr9:130713880-130887674	ABL1	189980	"ABL protooncogene 1, nonreceptor tyrosine kinase"	"Leukemia, Philadelphia chromosome-positive, resistant to imatinib, 608232 (3), Somatic mutation; Congenital heart defects and skeletal malformations syndrome, 617602 (3), Autosomal dominant"	"Severe Paediatric Disorders, Familial non syndromic congenital heart disease, Paediatric disorders - additional genes"	TRUE	TRUE	"MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown"	28288113	"JTK7, c-ABL, p150"
ENSG00000151498	chr11:134253537-134265857	ACAD8	604773	"Acyl-CoA dehydrogenase family, member 8"	"Isobutyryl-CoA dehydrogenase deficiency, 611283 (3), Autosomal recessive"	"Severe Paediatric Disorders, Inborn errors of metabolism"	TRUE	TRUE	"BIALLELIC, autosomal or pseudoautosomal"	30847515	
ENSG00000177646	chr3:128879595-128913113	ACAD9	611103	"Acyl-CoA dehydrogenase family, member 9"	"Mitochondrial complex I deficiency, nuclear type 20, 611126 (3), Autosomal recessive"	"Inborn errors of metabolism, Cardiomyopathies - including childhood onset, DDG2P, Mitochondrial disorders, Intellectual disability, Rhabdomyolysis and metabolic muscle disorders, Severe Paediatric Disorders, Fetal anomalies"	TRUE	TRUE	"BIALLELIC, autosomal or pseudoautosomal"	30847515	"NPD002, MGC14452"
ENSG00000117054	chr1:75724708-75763678	ACADM	607008	"Acyl-Coenzyme A dehydrogenase, C-4 to C-12 straight chain"	"Acyl-CoA dehydrogenase, medium chain, deficiency of, 201450 (3), Autosomal recessive"	"Inborn errors of metabolism, DDG2P, Intellectual disability, Hyperammonaemia, Rhabdomyolysis and metabolic muscle disorders, Severe Paediatric Disorders"	TRUE	TRUE	"BIALLELIC, autosomal or pseudoautosomal"	"27604308, 24816252"	"MCAD, MCADH, ACAD1"
ENSG00000122971	chr12:120725825-120740007	ACADS	606885	"Acyl-Coenzyme A dehydrogenase, C-2 to C-3 short chain"	"Acyl-CoA dehydrogenase, short-chain, deficiency of, 201470 (3), Autosomal recessive"	"Severe Paediatric Disorders, Inborn errors of metabolism, Intellectual disability, DDG2P"	TRUE	TRUE	"BIALLELIC, autosomal or pseudoautosomal"	2808706	"SCAD, ACAD3"
ENSG00000196177	chr10:123009005-123058289	ACADSB	600301	"Acyl-Coenzyme A dehydrogenase, short/branched chain"	"2-methylbutyrylglycinuria, 610006 (3), Autosomal recessive"	"Severe Paediatric Disorders, Inborn errors of metabolism"	TRUE	TRUE	"BIALLELIC, autosomal or pseudoautosomal"	30847515	"SBCAD, ACAD7"
ENSG00000072778	chr17:7217124-7225265	ACADVL	609575	"Acyl-Coenzyme A dehydrogenase, very long chain"	"VLCAD deficiency, 201475 (3), Autosomal recessive"	"Inborn errors of metabolism, DDG2P, Cardiomyopathies - including childhood onset, Limb girdle muscular dystrophy, Hyperammonaemia, Rhabdomyolysis and metabolic muscle disorders, Severe Paediatric Disorders, Fetal anomalies"	TRUE	TRUE	"BIALLELIC, autosomal or pseudoautosomal"		"VLCAD, LCACD, ACAD6"
ENSG00000157766	chr15:88803435-88875352	ACAN	155760	"Aggrecan (chondroitin sulfate proteoglycan-1, large aggregating proteoglycan, antigen identifies by monoclonal antibody A0122)"	"Short stature and advanced bone age, with or without early-onset osteoarthritis and/or osteochondritis dissecans, 165800 (3), Autosomal dominant; Spondyloepimetaphyseal dysplasia, aggrecan type, 612813 (3), Autosomal recessive; ?Spondyloepiphyseal dysplasia, Kimberley type, 608361 (3), Autosomal dominant"	"Growth failure in early childhood, DDG2P, Skeletal dysplasia, Severe Paediatric Disorders, Fetal anomalies"	TRUE	TRUE	"BOTH monoallelic and biallelic, autosomal or pseudoautosomal"	30847515	CSPGCP
ENSG00000075239	chr11:108116704-108148821	ACAT1	607809	Acetyl-Coenzyme A acetyltransferase-1 (acetoacetyl Coenzyme A thiolase)	"Alpha-methylacetoacetic aciduria, 203750 (3), Autosomal recessive"	"Severe Paediatric Disorders, Inborn errors of metabolism, Ketotic hypoglycaemia, DDG2P"	TRUE	TRUE	"BIALLELIC, autosomal or pseudoautosomal"	30847515	THIL
ENSG00000107897	chr10:27182837-27243541	ACBD5	616618	Acyl-CoA-binding domain-containing protein 5	"Retinal dystrophy with leukodystrophy, 618863 (3), Autosomal recessive"		TRUE	FALSE			
ENSG00000159640	chr17:63477060-63498372	ACE	106180	Angiotensin I converting enzyme (dipeptidyl carboxypeptidase-1)	"Renal tubular dysgenesis, 267430 (3), Autosomal recessive; {Myocardial infarction, susceptibility to} (3); {Microvascular complications of diabetes 3}, 612624 (3); [Angiotensin I-converting enzyme, benign serum increase] (3); {SARS, progression of} (3); {Stroke, hemorrhagic}, 614519 (3)"	"Severe Paediatric Disorders, Fetal anomalies, CAKUT"	TRUE	TRUE	"BIALLELIC, autosomal or pseudoautosomal"	30058238	"ACE1, CD143"
ENSG00000100412	chr22:41468755-41528978	ACO2	100850	"Aconitase, mitochondrial"	"Infantile cerebellar-retinal degeneration, 614559 (3), Autosomal recessive; ?Optic atrophy 9, 616289 (3), Autosomal recessive"	"Inborn errors of metabolism, Retinal disorders, Mitochondrial disorders, Intellectual disability, Optic neuropathy, Severe Paediatric Disorders"	TRUE	TRUE	"BIALLELIC, autosomal or pseudoautosomal"		ACONM
ENSG00000161533	chr17:75941506-75979198	ACOX1	609751	"Acyl-Coenzyme A oxidase 1, palmitoyl"	"Mitchell syndrome, 618960 (3), Autosomal dominant; Peroxisomal acyl-CoA oxidase deficiency, 264470 (3), Autosomal recessive"	"Inborn errors of metabolism, DDG2P, Childhood onset dystonia or chorea or related movement disorder, White matter disorders and cerebral calcification - narrow panel, Intellectual disability, Severe Paediatric Disorders, Fetal anomalies"	TRUE	TRUE	"BIALLELIC, autosomal or pseudoautosomal"	"17458872, 8279468, 11815777, 2894756, 18536048"	PALMCOX
ENSG00000168306	chr3:58505135-58537195	ACOX2	601641	"Acyl-Coenzyme A oxidase 2, branched chain"	"Bile acid synthesis defect, congenital, 6, 617308 (3), Autosomal recessive"		TRUE	FALSE			
ENSG00000142513	chr19:50790414-50795218	ACP4	606362	Acid phosphatase 4	"Amelogenesis imperfecta, type IJ, 617297 (3), Autosomal recessive"	Amelogenesis imperfecta	TRUE	TRUE	"BIALLELIC, autosomal or pseudoautosomal"	"28513613, 27843125"	
ENSG00000102575	chr19:11574659-11578982	ACP5	171640	"Acid phosphatase 5, tartrate resistant"	"Spondyloenchondrodysplasia with immune dysregulation, 607944 (3), Autosomal recessive"	"DDG2P, White matter disorders and cerebral calcification - narrow panel, Skeletal dysplasia, Severe Paediatric Disorders, Fetal anomalies"	TRUE	TRUE	"BIALLELIC, autosomal or pseudoautosomal"		"TRAP, HPAP"
ENSG00000176715	chr16:89093846-89160555	ACSF3	614245	Acyl-CoA synthetase family member 3	"Combined malonic and methylmalonic aciduria, 614265 (3)"	"Severe Paediatric Disorders, Inborn errors of metabolism"	TRUE	TRUE	"BIALLELIC, autosomal or pseudoautosomal"	30847515	
ENSG00000068366	chrX:109641334-109733324	ACSL4	300157	Acyl-CoA synthetase long-chain family member 4	"Mental retardation, X-linked 63, 300387 (3), X-linked dominant"	"Severe Paediatric Disorders, Intellectual disability"	TRUE	TRUE	"X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)"	30847515	"ACS4, LACS4"
ENSG00000164398	chr5:131949972-132012067	ACSL6	604443	Acyl-CoA synthetase long-chain family member 6	"Myelodysplastic syndrome (3); Myelogenous leukemia, acute (3)"		TRUE	FALSE			
ENSG00000143632	chr1:229431244-229434093	ACTA1	102610	"Actin, alpha-1, skeletal muscle"	"Myopathy, actin, congenital, with cores, 161800 (3), Autosomal dominant, Autosomal recessive; Nemaline myopathy 3, autosomal dominant or recessive, 161800 (3), Autosomal dominant, Autosomal recessive; Myopathy, congenital, with fiber-type disproportion 1, 255310 (3), Autosomal dominant, Autosomal recessive; Myopathy, actin, congenital, with excess of thin myofilaments, 161800 (3), Autosomal dominant, Autosomal recessive; ?Myopathy, scapulohumeroperoneal, 616852 (3), Autosomal dominant"	"Congenital myopathy, Cardiomyopathies - including childhood onset, Fetal anomalies, Severe Paediatric Disorders, Distal myopathies, Arthrogryposis"	TRUE	TRUE	"BOTH monoallelic and biallelic, autosomal or pseudoautosomal"	30266093	NEM3
ENSG00000107796	chr10:88935073-88991396	ACTA2	102620	"Actin, alpha-2, smooth muscle, aorta"	"Aortic aneurysm, familial thoracic 6, 611788 (3), Autosomal dominant; Multisystemic smooth muscle dysfunction syndrome, 613834 (3), Autosomal dominant; Moyamoya disease 5, 614042 (3)"	"Severe Paediatric Disorders, DDG2P, Cerebral vascular malformations, Fetal anomalies"	TRUE	TRUE	"MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown"		ACTSA
ENSG00000075624	chr7:5527147-5530600	ACTB	102630	"Actin, beta"	"?Dystonia, juvenile-onset, 607371 (3), Autosomal dominant; Baraitser-Winter syndrome 1, 243310 (3), Autosomal dominant"	"Clefting, DDG2P, Childhood onset dystonia or chorea or related movement disorder, Adult onset movement disorder, Bleeding and platelet disorders, Ocular coloboma, Malformations of cortical development, Intellectual disability, Mosaic skin disorders - deep sequencing, Severe Paediatric Disorders, Fetal anomalies"	TRUE	TRUE	"MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted"		
ENSG00000159251	chr15:34790229-34795548	ACTC1	102540	"Actin, alpha, cardiac muscle"	"Left ventricular noncompaction 4, 613424 (3), Autosomal dominant; Atrial septal defect 5, 612794 (3), Autosomal dominant; Cardiomyopathy, dilated, 1R, 613424 (3), Autosomal dominant; Cardiomyopathy, hypertrophic, 11, 612098 (3), Autosomal dominant"	"Cardiomyopathies - including childhood onset, Left Ventricular Noncompaction Cardiomyopathy, Paediatric disorders - additional genes, Hypertrophic cardiomyopathy - teen and adult, Severe Paediatric Disorders, Fetal anomalies"	TRUE	TRUE	"MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown"	30847515	CMD1R
ENSG00000184009	chr17:81509970-81512798	ACTG1	102560	"Actin, gamma-1"	"Baraitser-Winter syndrome 2, 614583 (3), Autosomal dominant; Deafness, autosomal dominant 20/26, 604717 (3), Autosomal dominant"	"Clefting, DDG2P, Ocular coloboma, Hearing loss, Malformations of cortical development, Intellectual disability, Severe Paediatric Disorders, Fetal anomalies"	TRUE	TRUE	"MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown"	22366783	
ENSG00000163017	chr2:73893007-73919864	ACTG2	102545	"Actin, gamma-2, smooth muscle, enteric"	"Visceral myopathy, 155310 (3), Autosomal dominant"	"Severe Paediatric Disorders, CAKUT, Fetal anomalies"	TRUE	TRUE	"MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted"	PMID: 25998219	ACTSG
ENSG00000077080	chr7:100643096-100656447	ACTL6B	612458	Actin-like 6B	"Developmental and epileptic encephalopathy 76, 618468 (3), Autosomal recessive; Intellectual developmental disorder with severe speech and ambulation defects, 618470 (3), Autosomal dominant"	"Severe Paediatric Disorders, Intellectual disability, DDG2P"	TRUE	TRUE	"BOTH monoallelic and biallelic, autosomal or pseudoautosomal"	30847515	BAF53B
ENSG00000072110	chr14:68874122-68979301	ACTN1	102575	"Actinin, alpha-1"	"Bleeding disorder, platelet-type, 15, 615193 (3), Autosomal dominant"	"Bleeding and platelet disorders, Severe Paediatric Disorders"	TRUE	TRUE	"MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown"	30847515	
ENSG00000077522	chr1:236686498-236764630	ACTN2	102573	"Actinin, alpha-2"	"Myopathy, distal, 6, adult onset, 618655 (3), Autosomal dominant; Cardiomyopathy, dilated, 1AA, with or without LVNC, 612158 (3), Autosomal dominant; Cardiomyopathy, hypertrophic, 23, with or without LVNC, 612158 (3), Autosomal dominant; Myopathy, congenital with structured cores and Z-line abnormalities, 618654 (3), Autosomal dominant"	"Hypertrophic cardiomyopathy - teen and adult, Congenital myopathy, Cardiomyopathies - including childhood onset"	TRUE	TRUE	"MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown"	"24692096, 30701273, 30900782"	
ENSG00000130402	chr19:38647648-38731588	ACTN4	604638	"Actinin, alpha-4"	"Glomerulosclerosis, focal segmental, 1, 603278 (3), Autosomal dominant"	Severe Paediatric Disorders	TRUE	TRUE	"MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown"	30847515	
ENSG00000115170	chr2:157736445-157876329	ACVR1	102576	"Activin A receptor, type I"	"Fibrodysplasia ossificans progressiva, 135100 (3), Autosomal dominant"	"Skeletal dysplasia, Severe Paediatric Disorders"	TRUE	TRUE	"MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted"		"SKR1, ALK2, ACVR1A"
ENSG00000114739	chr3:38453889-38493141	ACVR2B	602730	"Activin A receptor, type IIB"	"Heterotaxy, visceral, 4, autosomal, 613751 (3)"	"Paediatric disorders - additional genes, Severe Paediatric Disorders, Familial non syndromic congenital heart disease, Fetal anomalies"	TRUE	TRUE	"MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown"	9916847	ActR-IIB
ENSG00000139567	chr12:51906912-51923360	ACVRL1	601284	"Activin A receptor, type II-like kinase 1"	"Telangiectasia, hereditary hemorrhagic, type 2, 600376 (3), Autosomal dominant"	"Bleeding and platelet disorders, Hereditary haemorrhagic telangiectasia, Severe Paediatric Disorders, Cerebral vascular malformations"	TRUE	TRUE	"MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted"	"8640225, 16155196, 14684682"	"HHT2, ALK1, HHT"
ENSG00000243989	chr3:51983534-51989196	ACY1	104620	Aminoacylase-1	"Aminoacylase 1 deficiency, 609924 (3), Autosomal recessive"	"Inborn errors of metabolism, DDG2P, Intellectual disability, Severe Paediatric Disorders, Fetal anomalies"	TRUE	TRUE	"BIALLELIC, autosomal or pseudoautosomal"		
ENSG00000093072	chr22:17178789-17221853	ADA2	607575	Adenosine deaminase 2	"Vasculitis, autoinflammation, immunodeficiency, and hematologic defects syndrome, 615688 (3), Autosomal recessive; ?Sneddon syndrome, 182410 (3), Autosomal recessive"	"Severe Paediatric Disorders, Cytopenia - NOT Fanconi anaemia, Cytopenias and congenital anaemias"	TRUE	TRUE	"BIALLELIC, autosomal or pseudoautosomal"	"25075847, 24552285, 24552284"	ADGF
ENSG00000137845	chr15:58588808-58749706	ADAM10	602192	ADAM metallopeptidase domain 10	"{Alzheimer disease 18, susceptibility to}, 615590 (3); Reticulate acropigmentation of Kitamura, 615537 (3), Autosomal dominant"		TRUE	FALSE			
ENSG00000168615	chr8:38996766-39105260	ADAM9	602713	ADAM metallopeptidase domain 9	"Cone-rod dystrophy 9, 612775 (3), Autosomal recessive"	Retinal disorders	TRUE	TRUE	"BIALLELIC, autosomal or pseudoautosomal"		"MDC9, KIAA0021, MCMP, Mltng"
ENSG00000142303	chr19:8580239-8610714	ADAMTS10	608990	"ADAM metallopeptidase domain with thrombospondin type 1 motif, 10"	"Weill-Marchesani syndrome 1, recessive, 277600 (3), Autosomal recessive"	"Fetal anomalies, Glaucoma (developmental), Skeletal dysplasia, Severe Paediatric Disorders, Arthrogryposis"	TRUE	TRUE	"BIALLELIC, autosomal or pseudoautosomal"	15368195	ADAM-TS10
ENSG00000160323	chr9:133414336-133459402	ADAMTS13	604134	"ADAM metallopeptidase domain with thrombospondin type 1 motif, 13"	"Thrombotic thrombocytopenic purpura, hereditary, 274150 (3), Autosomal recessive"	"Bleeding and platelet disorders, Severe Paediatric Disorders, Cytopenias and congenital anaemias"	TRUE	TRUE	"BIALLELIC, autosomal or pseudoautosomal"	11586351	"VWFCP, TTP, vWF-CP, FLJ42993, MGC118899, MGC118900, DKFZp434C2322"
