gene_id	tx_id
ENSG00000173369	ENST00000314933
ENSG00000108561	ENST00000225698
ENSG00000159189	ENST00000374639
ENSG00000223953	ENST00000445041
ENSG00000159403	ENST00000542285
ENSG00000182326	ENST00000406697
ENSG00000166278	ENST00000299367
ENSG00000168014	ENST00000313663
ENSG00000125730	ENST00000245907
ENSG00000244731	ENST00000428956
ENSG00000224389	ENST00000435363
ENSG00000106804	ENST00000223642
ENSG00000039537	ENST00000263413
ENSG00000112936	ENST00000313164
ENSG00000157131	ENST00000361249
ENSG00000021852	ENST00000371237
ENSG00000156172	ENST00000286688
ENSG00000113600	ENST00000263408
ENSG00000147894	ENST00000380003
ENSG00000074410	ENST00000178638
ENSG00000104267	ENST00000285379
ENSG00000167434	ENST00000300900
ENSG00000174990	ENST00000309893
ENSG00000178538	ENST00000317995
ENSG00000167791	ENST00000294288
ENSG00000175544	ENST00000325656
ENSG00000141837	ENST00000360228
ENSG00000148408	ENST00000371372
ENSG00000151067	ENST00000347598
ENSG00000157388	ENST00000288139
ENSG00000198216	ENST00000367573
ENSG00000102001	ENST00000376265
ENSG00000006283	ENST00000359106
ENSG00000196557	ENST00000348261
ENSG00000081248	ENST00000362061
ENSG00000007402	ENST00000479441
ENSG00000151062	ENST00000382722
ENSG00000165995	ENST00000324631
ENSG00000182389	ENST00000539935
ENSG00000084774	ENST00000264705
ENSG00000198668	ENST00000356978
ENSG00000143933	ENST00000272298
ENSG00000160014	ENST00000291295
ENSG00000070808	ENST00000398376
ENSG00000058404	ENST00000395749
ENSG00000148660	ENST00000322680
ENSG00000171735	ENST00000303635
ENSG00000171302	ENST00000302345
ENSG00000014216	ENST00000527323
ENSG00000092529	ENST00000397163
ENSG00000149260	ENST00000278559
ENSG00000198286	ENST00000396946
ENSG00000141527	ENST00000573882
ENSG00000187796	ENST00000371732
ENSG00000159753	ENST00000334583
ENSG00000110619	ENST00000380525
ENSG00000134905	ENST00000257347
ENSG00000147044	ENST00000378166
ENSG00000003400	ENST00000286186
ENSG00000105141	ENST00000427043
ENSG00000143318	ENST00000368078
ENSG00000118729	ENST00000261448
ENSG00000036828	ENST00000498619
ENSG00000153113	ENST00000395812
ENSG00000121691	ENST00000241052
ENSG00000175294	ENST00000312106
ENSG00000105974	ENST00000341049
ENSG00000182533	ENST00000343849
ENSG00000177469	ENST00000357037
ENSG00000110395	ENST00000264033
ENSG00000134812	ENST00000257248
ENSG00000160200	ENST00000398165
ENSG00000132024	ENST00000318003
ENSG00000048342	ENST00000424120
ENSG00000183287	ENST00000439986
ENSG00000167131	ENST00000417826
ENSG00000136710	ENST00000259229
ENSG00000154781	ENST00000383794
ENSG00000101997	ENST00000376227
ENSG00000128891	ENST00000558750
ENSG00000145075	ENST00000442201
ENSG00000141519	ENST00000397545
ENSG00000108588	ENST00000225726
ENSG00000139537	ENST00000320516
ENSG00000169515	ENST00000307522
ENSG00000015133	ENST00000389857
ENSG00000136280	ENST00000381112
ENSG00000112761	ENST00000361714
ENSG00000118971	ENST00000261254
ENSG00000162063	ENST00000397066
ENSG00000152669	ENST00000282572
ENSG00000150753	ENST00000280326
ENSG00000177697	ENST00000397420
ENSG00000177455	ENST00000538922
ENSG00000139193	ENST00000266557
ENSG00000198087	ENST00000359314
ENSG00000167775	ENST00000301458
ENSG00000135218	ENST00000435819
ENSG00000167286	ENST00000300692
ENSG00000198851	ENST00000361763
ENSG00000160654	ENST00000532917
ENSG00000010610	ENST00000011653
ENSG00000101017	ENST00000372285
ENSG00000102245	ENST00000370629
ENSG00000196352	ENST00000314754
ENSG00000085063	ENST00000395850
ENSG00000125726	ENST00000245903
ENSG00000105369	ENST00000221972
ENSG00000007312	ENST00000392795
ENSG00000110651	ENST00000263645
ENSG00000153563	ENST00000409511
ENSG00000153283	ENST00000283285
ENSG00000140326	ENST00000356231
ENSG00000079335	ENST00000361544
ENSG00000070831	ENST00000344548
ENSG00000093009	ENST00000437685
ENSG00000134371	ENST00000367435
ENSG00000144354	ENST00000306721
ENSG00000039068	ENST00000261769
ENSG00000140937	ENST00000268603
ENSG00000129910	ENST00000289746
ENSG00000170558	ENST00000269141
ENSG00000107736	ENST00000398788
ENSG00000062038	ENST00000264012
ENSG00000148600	ENST00000372117
ENSG00000186073	ENST00000566621
ENSG00000185324	ENST00000353379
ENSG00000065883	ENST00000181839
ENSG00000155111	ENST00000368911
ENSG00000136861	ENST00000349780
ENSG00000132964	ENST00000381527
ENSG00000008086	ENST00000379989
ENSG00000111276	ENST00000228872
ENSG00000129757	ENST00000414822
ENSG00000064309	ENST00000392693
ENSG00000204539	ENST00000376288
ENSG00000167513	ENST00000301019
ENSG00000213892	ENST00000587331
ENSG00000092067	ENST00000206513
ENSG00000170835	ENST00000372080
ENSG00000142615	ENST00000359621
ENSG00000117724	ENST00000366955
ENSG00000151849	ENST00000381884
ENSG00000116198	ENST00000378230
ENSG00000154240	ENST00000392769
ENSG00000168944	ENST00000306467
ENSG00000174799	ENST00000257287
ENSG00000103995	ENST00000380950
ENSG00000110274	ENST00000278935
ENSG00000174007	ENST00000409690
ENSG00000126001	ENST00000397527
ENSG00000198707	ENST00000552810
ENSG00000106477	ENST00000223208
ENSG00000138180	ENST00000371485
ENSG00000166037	ENST00000325542
ENSG00000148019	ENST00000376597
ENSG00000173588	ENST00000397809
ENSG00000111860	ENST00000368488
ENSG00000188452	ENST00000339098
ENSG00000154227	ENST00000284382
ENSG00000113163	ENST00000380494
ENSG00000198848	ENST00000360526
ENSG00000087237	ENST00000200676
ENSG00000158023	ENST00000288912
ENSG00000159079	ENST00000290155
ENSG00000137691	ENST00000434758
ENSG00000160226	ENST00000397956
ENSG00000197748	ENST00000357060
ENSG00000172361	ENST00000398545
ENSG00000120051	ENST00000369704
ENSG00000181378	ENST00000341552
ENSG00000105792	ENST00000389297
ENSG00000136698	ENST00000259216
ENSG00000197766	ENST00000327726
ENSG00000000971	ENST00000367429
ENSG00000134389	ENST00000256785
ENSG00000205403	ENST00000394634
ENSG00000165410	ENST00000341223
ENSG00000126759	ENST00000247153
ENSG00000001626	ENST00000003084
ENSG00000198824	ENST00000361283
ENSG00000070748	ENST00000337653
ENSG00000250479	ENST00000484558
ENSG00000106153	ENST00000395422
ENSG00000153922	ENST00000284049
ENSG00000173575	ENST00000394196
ENSG00000170004	ENST00000380358
ENSG00000111642	ENST00000357008
ENSG00000171316	ENST00000423902
ENSG00000183765	ENST00000382580
ENSG00000100288	ENST00000406938
ENSG00000188419	ENST00000357749
ENSG00000131165	ENST00000397901
ENSG00000083937	ENST00000263780
ENSG00000101421	ENST00000217402
ENSG00000128656	ENST00000409900
ENSG00000101938	ENST00000372042
ENSG00000133019	ENST00000255380
ENSG00000138435	ENST00000261007
ENSG00000120903	ENST00000407991
ENSG00000080644	ENST00000326828
ENSG00000101204	ENST00000370263
ENSG00000170175	ENST00000306071
ENSG00000160716	ENST00000368476
ENSG00000135902	ENST00000258385
ENSG00000108556	ENST00000293780
ENSG00000196811	ENST00000389494
ENSG00000169105	ENST00000306243
ENSG00000122863	ENST00000373115
ENSG00000183196	ENST00000332272
ENSG00000131873	ENST00000254190
ENSG00000213341	ENST00000370397
ENSG00000185043	ENST00000328649
ENSG00000136425	ENST00000258930
ENSG00000079432	ENST00000575354
ENSG00000179583	ENST00000324288
ENSG00000112144	ENST00000356971
ENSG00000145354	ENST00000273986
ENSG00000122966	ENST00000392521
ENSG00000164442	ENST00000367651
ENSG00000169607	ENST00000302450
ENSG00000121940	ENST00000369971
ENSG00000175505	ENST00000312438
ENSG00000188037	ENST00000343257
ENSG00000114859	ENST00000265593
ENSG00000073464	ENST00000380833
ENSG00000171365	ENST00000376088
ENSG00000103249	ENST00000382745
ENSG00000186510	ENST00000331433
ENSG00000184908	ENST00000375679
ENSG00000163347	ENST00000295522
ENSG00000134873	ENST00000299339
ENSG00000159261	ENST00000399137
ENSG00000113946	ENST00000264734
ENSG00000164007	ENST00000296387
ENSG00000172243	ENST00000304084
ENSG00000166250	ENST00000448775
ENSG00000188603	ENST00000569430
ENSG00000102805	ENST00000377453
ENSG00000128973	ENST00000249806
ENSG00000182372	ENST00000331222
ENSG00000172409	ENST00000533682
ENSG00000162129	ENST00000294053
ENSG00000125656	ENST00000245816
ENSG00000163646	ENST00000328863
ENSG00000141367	ENST00000269122
ENSG00000169714	ENST00000441626
ENSG00000198515	ENST00000402813
ENSG00000144191	ENST00000393504
ENSG00000070729	ENST00000251102
ENSG00000170289	ENST00000320005
ENSG00000149970	ENST00000379510
ENSG00000148842	ENST00000369878
ENSG00000158158	ENST00000377075
ENSG00000125107	ENST00000317147
ENSG00000111596	ENST00000229195
ENSG00000088038	ENST00000406403
ENSG00000137161	ENST00000372836
ENSG00000108797	ENST00000264638
ENSG00000174469	ENST00000361727
ENSG00000168275	ENST00000366613
ENSG00000162377	ENST00000371538
ENSG00000256053	ENST00000409074
ENSG00000068120	ENST00000590958
ENSG00000100473	ENST00000396618
ENSG00000166685	ENST00000299886
ENSG00000103051	ENST00000323786
ENSG00000164597	ENST00000297135
ENSG00000133103	ENST00000455146
ENSG00000168434	ENST00000307149
ENSG00000213380	ENST00000306875
ENSG00000123500	ENST00000327673
ENSG00000060718	ENST00000370096
ENSG00000204248	ENST00000374708
ENSG00000111799	ENST00000322507
ENSG00000197467	ENST00000398978
ENSG00000065618	ENST00000353479
ENSG00000182871	ENST00000355480
ENSG00000108821	ENST00000225964
ENSG00000164692	ENST00000297268
ENSG00000188517	ENST00000399132
ENSG00000196739	ENST00000356083
ENSG00000139219	ENST00000380518
ENSG00000168542	ENST00000304636
ENSG00000187498	ENST00000375820
ENSG00000134871	ENST00000360467
ENSG00000169031	ENST00000396578
ENSG00000081052	ENST00000396625
ENSG00000188153	ENST00000328300
ENSG00000130635	ENST00000371817
ENSG00000204262	ENST00000374866
ENSG00000142156	ENST00000361866
ENSG00000142173	ENST00000300527
ENSG00000163359	ENST00000295550
ENSG00000114270	ENST00000328333
ENSG00000171812	ENST00000397799
ENSG00000112280	ENST00000357250
ENSG00000049089	ENST00000372748
ENSG00000092758	ENST00000343916
ENSG00000184374	ENST00000332843
ENSG00000118004	ENST00000418971
ENSG00000130309	ENST00000252599
ENSG00000206561	ENST00000383788
ENSG00000105664	ENST00000222271
ENSG00000173085	ENST00000311469
ENSG00000167113	ENST00000300452
ENSG00000119723	ENST00000334571
ENSG00000163050	ENST00000366779
ENSG00000123815	ENST00000324464
ENSG00000088682	ENST00000262507
ENSG00000145244	ENST00000273857
ENSG00000102879	ENST00000219150
ENSG00000006695	ENST00000261643
ENSG00000014919	ENST00000016171
ENSG00000203667	ENST00000411948
ENSG00000131143	ENST00000562336
ENSG00000131055	ENST00000376075
ENSG00000111775	ENST00000229379
ENSG00000156885	ENST00000287490
ENSG00000126267	ENST00000246554
ENSG00000131174	ENST00000481445
ENSG00000047457	ENST00000264613
ENSG00000165078	ENST00000297770
ENSG00000160111	ENST00000443236
ENSG00000197603	ENST00000425232
ENSG00000168993	ENST00000304062
ENSG00000120054	ENST00000370418
ENSG00000080819	ENST00000264193
ENSG00000021826	ENST00000430249
ENSG00000071894	ENST00000349769
ENSG00000110090	ENST00000265641
ENSG00000157184	ENST00000371486
ENSG00000117322	ENST00000367057
ENSG00000169372	ENST00000542893
ENSG00000134376	ENST00000367400
ENSG00000148204	ENST00000373631
ENSG00000113851	ENST00000231948
ENSG00000157613	ENST00000529193
ENSG00000005339	ENST00000262367
ENSG00000163703	ENST00000326434
ENSG00000119878	ENST00000238892
ENSG00000006016	ENST00000392386
ENSG00000214960	ENST00000407010
ENSG00000170275	ENST00000320954
ENSG00000105662	ENST00000338797
ENSG00000105392	ENST00000221996
ENSG00000160202	ENST00000291554
ENSG00000109846	ENST00000533475
ENSG00000108255	ENST00000225387
ENSG00000196431	ENST00000354760
ENSG00000100122	ENST00000215939
ENSG00000244752	ENST00000398215
ENSG00000100053	ENST00000215855
ENSG00000182187	ENST00000260988
ENSG00000163254	ENST00000282141
ENSG00000118231	ENST00000264376
ENSG00000213139	ENST00000392499
ENSG00000103316	ENST00000219599
ENSG00000182578	ENST00000286301
ENSG00000198223	ENST00000417535
ENSG00000100368	ENST00000403662
ENSG00000119535	ENST00000373103
ENSG00000147408	ENST00000454498
ENSG00000141551	ENST00000314028
ENSG00000101266	ENST00000217244
ENSG00000204435	ENST00000375882
ENSG00000104218	ENST00000262210
ENSG00000129170	ENST00000533783
ENSG00000101439	ENST00000398411
ENSG00000121552	ENST00000264474
ENSG00000160213	ENST00000291568
ENSG00000159692	ENST00000290921
ENSG00000178971	ENST00000315684
ENSG00000102974	ENST00000264010
ENSG00000060069	ENST00000299543
ENSG00000116761	ENST00000370938
ENSG00000164932	ENST00000330295
ENSG00000163599	ENST00000302823
ENSG00000044115	ENST00000302763
ENSG00000066032	ENST00000466387
ENSG00000183230	ENST00000433211
ENSG00000168036	ENST00000349496
ENSG00000198561	ENST00000399050
ENSG00000040531	ENST00000381870
ENSG00000171793	ENST00000372621
ENSG00000064601	ENST00000372484
ENSG00000164733	ENST00000353047
ENSG00000109861	ENST00000227266
ENSG00000117984	ENST00000236671
ENSG00000174080	ENST00000310325
ENSG00000143387	ENST00000271651
ENSG00000174177	ENST00000453996
ENSG00000107611	ENST00000377833
ENSG00000036257	ENST00000264414
ENSG00000158290	ENST00000404115
ENSG00000044090	ENST00000535468
ENSG00000257923	ENST00000360264
ENSG00000111249	ENST00000261726
ENSG00000153015	ENST00000381070
ENSG00000095485	ENST00000354105
ENSG00000121966	ENST00000409817
ENSG00000008283	ENST00000392976
ENSG00000166347	ENST00000340533
ENSG00000100243	ENST00000361740
ENSG00000051523	ENST00000261623
ENSG00000165168	ENST00000378588
ENSG00000178927	ENST00000437807
ENSG00000179091	ENST00000318911
ENSG00000172115	ENST00000305786
ENSG00000055163	ENST00000521420
ENSG00000083799	ENST00000427738
ENSG00000140459	ENST00000268053
ENSG00000160882	ENST00000292427
ENSG00000179142	ENST00000323110
ENSG00000148795	ENST00000369887
ENSG00000137869	ENST00000396402
ENSG00000138061	ENST00000260630
ENSG00000231852	ENST00000418967
ENSG00000019186	ENST00000216862
ENSG00000003137	ENST00000001146
ENSG00000187553	ENST00000285949
ENSG00000135929	ENST00000258415
ENSG00000111012	ENST00000228606
ENSG00000255974	ENST00000301141
ENSG00000197408	ENST00000324071
ENSG00000165841	ENST00000371321
ENSG00000138109	ENST00000260682
ENSG00000186104	ENST00000334636
ENSG00000155016	ENST00000332884
ENSG00000160868	ENST00000336411
ENSG00000171954	ENST00000269703
ENSG00000145476	ENST00000378802
ENSG00000172817	ENST00000310193
ENSG00000180902	ENST00000321264
ENSG00000173406	ENST00000371236
ENSG00000173402	ENST00000545947
ENSG00000115866	ENST00000264161
ENSG00000117593	ENST00000361951
ENSG00000123454	ENST00000393056
ENSG00000137992	ENST00000370132
ENSG00000115827	ENST00000375255
